delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,polygon.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,beeeep.started,beeeep.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.4,1000,exp,3,5,41,4,233.3619302,,233.354571,233.3619302,233.4619661,234.3616406,234.3616406,234.5144916,space,0.1364522,None,234.5160522,234.9283517,,235.1784528,235.1784724,235.1942264,235.1942264,0.0005343,235.1942264,236.8825038,200,[0.02],[-0.32666666666666666],[1],[0],[0],[1.7027987999999823],1,[1.7029139999999643],[1.7029195000000072],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,3,6,42,7,236.8947906,,236.8889327,236.8947906,236.9948914,237.8944293,237.8944293,238.3141592,space,0.4120908,None,238.3156929,238.7280598,239.0442883,239.024432,239.0244512,239.0442883,239.0442883,0.0004735,239.0442883,240.5307344,200,[0.02],[-0.32666666666666666],[1],[0],[0],[1.5050906999999825],1,[1.5052022999998371],[1.50520779999988],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,3,7,43,11,240.5442915,,240.537129,240.5442915,240.644357,241.5441462,241.5441462,241.931234,space,0.3736747,None,241.9327704,242.6443857,,242.9187161,242.918735,242.9273589,242.9273589,0.0004594,242.9273589,244.6639123,100,[0.02],[-0.32666666666666666],[1],[0],[0],[1.7438421000001654],1,[1.7439527999999882],[1.743958799999973],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,3,8,44,6,244.6770187,,244.6704777,244.6770187,244.7771639,245.6770723,245.6770723,245.8963524,space,0.2089812,None,245.8979171,246.0102483,,246.2843277,246.2843458,246.293589,246.293589,0.0004549,246.293589,248.4297873,100,[0.02],[-0.32666666666666666],[1],[0],[0],[2.1442199999999048],1,[2.144326099999944],[2.1443314000000555],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,400,unexp,3,9,45,1,248.4433199,,248.4359964,248.4433199,248.5432275,249.4430357,249.4430357,249.5459278,space,0.0982601,None,249.5474849,249.9596721,250.2757904,250.259499,250.2595194,250.2757904,250.2757904,0.0005208,250.2757904,251.8296472,400,[0.02],[-0.32666666666666666],[1],[0],[0],[1.5688712999999552],1,[1.5689820999998574],[1.5689877999998316],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,3,10,46,10,251.8433271,,251.8359236,251.8433271,251.9428628,252.8435795,252.8435795,252.8786839,space,0.0238252,None,252.880233,253.2926135,,253.5734772,253.5734965,253.5918522,253.5918522,0.0004879,253.5918522,255.4289733,250,[0.02],[-0.32666666666666666],[1],[0],[0],[1.8541963999998643],1,[1.8542981999999029],[1.8543036999999458],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,3,11,47,3,255.4423141,,255.4354657,255.4423141,255.5423874,256.4420977,256.4420977,256.628986,space,0.1778486,None,256.6307104,256.7427855,257.0915292,257.0741964,257.0742186,257.0915292,257.0915292,0.0008008,257.0915292,258.7963768,200,[0.02],[-0.32666666666666666],[1],[0],[0],[1.7204047000000173],1,[1.7205588000001626],[1.720565699999952],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,4,0,48,4,258.808448,,258.8025873,258.808448,258.9094768,259.8084233,259.8084233,259.9777705,space,0.1534431,None,259.9793181,260.3919707,260.7409293,260.7231557,260.7231755,260.7409293,260.7409293,0.000572,260.7409293,263.3117101,120,[0.02],[-0.32666666666666666],[1],[0],[0],[2.5871609999999237],1,[2.5872684999999365],[2.5872744000000694],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,400,unexp,4,1,49,0,263.3248706,,263.3181059,263.3248706,263.4246604,264.324501,264.324501,264.4772783,space,0.1401521,None,264.4788197,264.5914293,264.891063,264.8826443,264.8826628,264.891063,264.891063,0.0004746,264.891063,266.5106054,300,[0.02],[-0.32666666666666666],[1],[0],[0],[1.6267872999999327],1,[1.6268987999999354],[1.626904599999989],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,400,unexp,4,2,50,2,266.5242429,,266.5170498,266.5242429,266.6241146,267.5240145,267.5240145,267.6103908,space,None,None,267.6119387,268.3244359,,268.5742429,268.5742624,268.5900021,268.5900021,0.000522,268.5900021,270.21023,800,[0.02],[-0.32666666666666666],[1],[0],[0],[1.634702999999945],1,[1.6348098999999365],[1.6348152999999002],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
